trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
2,0.625,pca,53,87,10,0.000879136,0.000203079,98.8762
4,0.584091,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
1,0.573295,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
11,0.563636,none,106,38,21,4.99942e-06,3.82988e-05,80.8144
7,0.560227,pca,73,85,42,1.91301e-06,0.000218742,88.6021
5,0.530114,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
8,0.509659,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
15,0.502841,none,62,68,38,2.54752e-07,2.96303e-05,97.014
3,0.478409,none,8,14,12,0.000348887,0.0120364,90.0857
9,0.444886,none,63,60,8,0.00062599,0.000173749,87.0188
