trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
13,0.9178,pca,53,69,12,5.99921e-08,0.0480402,86.7801
6,0.905525,none,83,68,61,3.51536e-07,0.0140192,96.6645
2,0.878475,pca,53,87,10,0.000879136,0.000203079,98.8762
8,0.878325,none,48,69,2,1.04179e-08,5.58118e-05,86.0267
10,0.877375,pca,104,54,38,3.79278e-07,0.00217036,85.9142
7,0.875325,pca,73,85,42,1.91301e-06,0.000218742,88.6021
15,0.8688,none,62,68,38,2.54752e-07,2.96303e-05,97.014
9,0.864475,none,63,60,8,0.00062599,0.000173749,87.0188
14,0.86265,pca,23,72,10,0.000528726,6.88993e-06,92.3599
5,0.846225,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
