trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
4,0.962338,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
15,0.962338,pca,112,43,11,7.26081e-08,0.056652,81.6408
13,0.961039,pca,108,49,43,2.00831e-06,3.03722e-06,84.51
5,0.957143,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
11,0.957143,pca,103,65,38,3.56614e-05,1.23368e-05,86.2439
10,0.955844,pca,104,54,38,3.79278e-07,0.00217036,85.9142
1,0.937662,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
6,0.935065,none,83,68,61,3.51536e-07,0.0140192,96.6645
7,0.935065,pca,73,85,42,1.91301e-06,0.000218742,88.6021
9,0.933766,none,63,60,8,0.00062599,0.000173749,87.0188
