trial_id,objective,graph.topo_preprocess,graph.k,graph.topo_k,graph.topo_pca_dim,graph.topo_min_persistence,detector.topo_cov_shrinkage,detector.topo_percentile
15,0.914525,pca,119,108,62,3.16981e-08,1.20325e-05,89.6623
13,0.914425,none,117,16,19,3.34025e-05,0.0354024,83.2787
4,0.914225,pca,111,88,24,4.74268e-06,2.17849e-06,80.4467
10,0.913575,pca,104,54,38,3.79278e-07,0.00217036,85.9142
11,0.913425,pca,103,65,38,3.56614e-05,1.23368e-05,86.2439
5,0.91335,pca,102,59,38,3.00216e-08,2.46689e-05,90.6834
14,0.913125,none,98,113,2,2.18158e-08,0.000816323,98.2753
12,0.91105,pca,85,10,44,0.000395688,3.82855e-06,86.3502
1,0.91075,pca,83,8,41,1.85429e-05,1.12213e-05,84.8883
6,0.91075,none,83,68,61,3.51536e-07,0.0140192,96.6645
